pos_words,pos_counts,neu_words,neu_counts,neg_words,neg_counts
high,32,didnt,22,john,35
local,32,far,22,school,35
clinton,32,someone,22,trigger,35
politics,32,florida,22,plant,35
temperatures,32,cnni,22,frighten,35
elect,32,conservatives,22,fossi,35
education,32,de,22,doom,34
florida,32,stave,22,grow,34
hey,32,pull,22,behind,34
mark,32,almost,22,wage,34
another,32,well,22,idiot,34
reach,32,coral,22,mass,34
nrdc,32,consensus,22,humanity,34
suggest,32,million,22,convince,34
republican,32,ag,22,week,34
documentary,31,leodicaprio,21,harm,34
days,31,name,21,long,34
leodicaprio,31,risk,21,result,34
sustainable,31,weve,21,billions,33
awareness,31,place,21,important,33
myth,31,river,21,struggle,33
farmers,31,march,21,leodicaprio,33
bold,31,chinese,21,rare,33
gon,31,deadly,21,climatereality,33
boost,31,pledge,21,parisagreement,33
solar,31,sense,21,case,33
target,31,fix,21,everything,33
administration,31,gas,21,almost,33
pm,31,staff,21,majority,33
measure,31,pm,21,fix,33
trend,30,transform,21,etc,33
seriously,30,cnnpolitics,21,abandon,33
species,30,letter,21,fusion,33
temperature,30,ny,21,march,33
excellent,30,fake,21,conspiracy,33
effective,30,comment,21,govt,33
lie,30,info,21,therell,33
probably,30,sink,21,add,32
consensus,30,safetypindaily,21,among,32
discussion,30,lloyds,21,canada,32
agenda,30,huge,20,ill,32
hurricane,30,nature,20,election,32
everything,30,antarctica,20,c,32
result,30,system,20,bernie,32
bye,30,current,20,word,32
begin,30,worry,20,ajplus,32
leadership,30,suggest,20,reach,32
listen,30,survive,20,hate,32
proud,30,grow,20,forget,32
follow,30,awareness,20,africa,32
summer,30,los,20,gov,32
seem,30,politicians,20,dumb,32
shut,30,early,20,city,32
daily,29,include,20,epas,32
cover,29,deniers,20,primary,32
team,29,paper,20,alone,31
home,29,control,20,politicians,31
theyre,29,parent,20,criticize,31
paper,29,michael,20,film,31
ok,29,offer,20,likely,31
actonclimate,29,oh,20,habitat,31
agriculture,29,teach,20,wall,31
sound,29,admin,20,slow,31
assaadrazzouk,29,soon,20,accept,31
popular,29,case,20,set,31
benefit,29,resilience,20,consider,31
c,29,run,20,dangers,31
page,29,shrink,20,half,31
york,29,auspol,20,secretary,31
leonardo,28,general,20,proof,31
govt,28,involve,20,thousands,31
allow,28,private,20,ppl,30
response,28,reason,20,article,30
events,28,europe,20,yall,30
blame,28,w,20,email,30
shift,28,fire,20,eat,30
value,28,crucial,19,critical,30
short,28,natgeo,19,ago,30
promote,28,zero,19,guardianeco,30
tonight,28,information,19,trade,30
full,28,unfccc,19,inequality,30
school,28,course,19,include,30
john,28,committee,19,angry,30
fix,28,extinction,19,suck,30
fake,28,full,19,jerry,30
run,28,eat,19,tha,30
fuck,28,law,19,group,30
position,28,party,19,target,30
thehill,28,agree,19,basic,30
bbc,28,govt,19,interview,30
least,28,priority,19,daily,29
rain,28,reference,19,term,29
map,28,social,19,governments,29
kurteichenwald,28,panel,19,damn,29
friends,28,school,19,catastrophe,29
communities,28,grind,19,violence,29
likely,28,waste,19,lack,29
wish,28,relate,19,agriculture,29
credible,28,three,19,refuse,29
community,27,nuclear,19,reveal,29
ambitious,27,david,19,twitter,29
weve,27,experts,19,bigger,29
warmer,27,reminder,19,climatecentral,29
blog,27,past,19,leadership,29
across,27,republican,19,open,29
almost,27,slow,19,invent,29
oceans,27,poll,19,adapt,29
heart,27,listen,19,massive,29
hottest,27,prince,19,book,29
etc,27,education,18,rex,29
w,27,tonight,18,save,29
admit,27,charge,18,pruitts,29
finally,27,communities,18,francis,29
washington,27,investors,18,york,28
offer,27,alter,18,minister,28
eu,27,e,18,protect,28
burn,27,interview,18,russia,28
media,27,add,18,low,28
