neu_words,neu_counts,pos_words,pos_counts,neg_words,neg_counts
germany,29,ed,31,priority,9
weekend,29,hours,31,religion,9
woman,29,affordable,31,specific,9
cover,29,exist,31,eat,9
source,29,headline,31,director,9
skeptics,29,priorities,31,horrific,9
charge,29,positive,31,communities,8
better,29,invest,31,disaster,8
denial,29,choice,31,demand,8
recently,29,pose,31,food,8
suppose,29,entire,31,along,8
chief,29,anyone,31,michael,8
direction,29,perpetrate,31,grateful,8
priority,29,tower,31,moral,8
direct,29,sean,31,five,8
reporters,29,guard,30,border,8
exxon,29,politicians,30,emergency,8
committee,28,gop,30,solution,8
india,28,price,30,mexico,8
canada,28,anybody,30,detail,8
differences,28,topics,30,therefore,8
often,28,prove,30,relations,8
harder,28,decades,30,remain,8
conflict,28,stronger,30,joe,8
reverse,28,detail,30,host,8
engage,28,cap,30,woman,8
ban,28,engage,30,whose,8
agreements,28,private,30,dollars,8
experience,28,presidency,30,treaty,8
movement,28,figure,30,avoid,8
despite,28,protesters,30,towards,8
consequences,28,environmentalists,30,men,8
game,28,board,30,light,8
apparently,28,brown,30,nobody,8
nominee,28,age,30,somebody,8
investigation,28,spicer,30,street,8
rex,28,fascinate,30,waste,8
highlight,27,rather,30,capital,8
men,27,quickly,29,everyday,8
activists,27,stance,29,lay,8
throughout,27,prime,29,fracking,8
democrat,27,police,29,virtually,8
negotiate,27,burn,29,hurt,8
generations,27,aggressive,29,pentagon,8
recognize,27,measure,29,citizens,8
exactly,27,development,29,marco,8
oh,27,receive,29,influence,8
cooperation,27,value,29,cabinet,8
draw,27,appeal,29,indeed,8
buy,27,finally,29,entire,8
criticize,27,seven,29,respond,8
invent,27,mass,29,general,8
headline,27,truth,29,approach,8
texas,26,french,29,table,8
russian,26,ignore,29,elections,8
union,26,leonardo,29,spot,8
series,26,director,29,series,8
houston,26,block,29,relate,8
aggressive,26,extraordinary,29,roll,8
wave,26,balance,29,buy,8
main,26,steve,29,second,8
nearly,26,severe,28,sean,8
return,26,introduce,28,unfair,8
believer,26,hot,28,strike,8
remark,26,fall,28,appear,8
congressman,26,nearly,28,approval,8
infrastructure,26,towards,28,obsess,8
topics,26,wealth,28,video,8
abortion,26,moral,28,generations,8
development,26,glad,28,materials,8
allow,26,mayor,28,excavation,8
cia,26,tie,28,check,8
wake,26,friends,28,liberals,8
presidency,26,wind,28,movie,8
free,26,wonder,28,perpetrate,8
pressure,26,reject,28,negative,8
nobody,26,light,28,endorse,7
decisions,26,dana,28,core,7
publicly,26,buy,28,months,7
agencies,26,specific,28,early,7
angela,26,fear,28,forefront,7
prime,25,skeptic,28,commit,7
jeb,25,divide,28,weapons,7
mistake,25,bigger,28,south,7
senior,25,confidence,28,reference,7
similar,25,realize,28,average,7
resources,25,technology,28,eye,7
pose,25,admit,28,degrees,7
immediate,25,committee,28,clean,7
zero,25,consensus,28,barack,7
park,25,commitment,28,brutal,7
transform,25,talents,28,dangers,7
disaster,25,toward,27,treat,7
local,25,rick,27,largest,7
bear,25,early,27,religious,7
criminal,25,mayors,27,experience,7
arrive,25,afternoon,27,room,7
immigrants,25,past,27,sanford,7
target,25,degrees,27,jim,7
anybody,25,financial,27,differences,7
inside,25,kerry,27,east,7
black,25,pass,27,protest,7
discussions,25,remark,27,criticize,7
project,25,rich,27,certainly,7
tom,25,west,27,correspondent,7
concept,25,instance,27,jump,7
nato,25,gather,27,race,7
completely,25,supreme,27,canada,7
perpetrate,25,throw,27,essentially,7
millennials,25,weekend,27,provide,7
fear,25,attorney,27,terrorist,7
budget,25,universities,27,weekend,7
fox,25,walk,27,bottom,7
employees,25,picture,27,perhaps,7
definition,25,appear,27,per,7
guess,25,movement,27,infrastructure,7
tucker,25,quick,26,businesses,7
attend,24,summer,26,terrify,7
rain,24,god,26,frustrate,7
iraq,24,stick,26,cities,7
prevent,24,minister,26,era,7
express,24,factor,26,embrace,7
vatican,24,child,26,transition,7
cruz,24,provide,26,amount,7
spread,24,correspondent,26,et,7
communities,24,stories,26,month,7
religious,24,coverage,26,education,7
weigh,24,disaster,26,existence,7
anymore,24,check,26,boo,7
stake,24,hottest,26,share,7
stick,24,david,26,ban,7
particular,24,strongly,26,decisions,7
seat,24,relations,26,minutes,7
coverage,24,religious,26,activists,7
environmentalists,24,charge,26,highlight,7
slow,24,pledge,26,completely,7
higher,24,effectively,26,unfit,7
fix,24,imagine,26,miss,7
piece,24,critical,26,equity,7
appeal,24,grandchildren,26,zero,7
advocate,24,secure,26,cia,7
old,24,encourage,26,conflict,7
billions,24,denial,26,constitution,7
letter,24,series,26,ones,7
thoughts,24,reporters,26,shift,7
