pos_words,pos_counts,neg_words,neg_counts,neu_words,neu_counts
greenhouse,57,greenhouse,39,cover,16
basically,57,minimum,39,folks,16
ways,57,accept,39,india,16
certain,57,voters,39,degrees,16
reality,57,alone,39,island,16
transform,57,tillerson,39,keystone,16
roll,57,bush,38,mayor,16
marriage,56,critics,38,person,16
church,56,hurricane,38,refugees,16
opinion,56,second,38,grow,16
among,56,terrorist,38,post,16
billion,56,send,38,pollution,16
generation,56,stuff,38,social,16
infrastructure,56,announce,38,plant,16
liberal,56,clean,38,majority,16
team,56,center,38,possible,16
learn,55,skeptic,38,basically,16
putin,55,refugees,38,respond,16
historic,55,solve,38,subject,16
close,55,rest,38,college,16
force,55,syria,37,areas,16
hit,55,decide,37,beyond,16
stage,55,likely,37,opinion,16
sense,55,link,37,largest,16
europe,55,follow,37,consensus,16
events,54,amount,37,attack,16
fair,54,latest,37,suppose,16
oppose,54,write,37,clean,16
months,54,democratic,37,hundreds,16
responsible,54,nobody,37,recent,16
renewable,54,hand,37,ways,16
consider,54,discussion,37,young,16
please,54,france,37,coast,16
street,54,jam,37,anyone,16
father,54,critical,36,website,16
cost,54,event,36,regard,16
efforts,54,foreign,36,team,16
truth,54,college,36,spicer,16
millennials,54,true,36,era,16
read,53,tucker,36,korea,16
along,53,argue,35,degree,16
particularly,53,later,35,military,16
million,53,behind,35,definition,16
ivanka,53,single,35,will,15
relationship,52,reform,35,statement,15
majority,52,law,35,guess,15
involve,52,respond,35,warn,15
expand,52,attorney,35,force,15
wo,52,invent,35,coverage,15
latest,51,perpetrate,35,melt,15
pipeline,51,difference,34,effort,15
center,51,heat,34,clear,15
massive,51,korea,34,kid,15
arctic,51,tough,34,five,15
likely,51,hours,34,church,15
control,51,suffer,34,certainly,15
note,51,increase,34,private,15
century,51,transition,34,stories,15
cuba,51,touch,34,potential,15
quite,51,despite,34,voice,15
difference,51,criticize,34,add,15
possible,51,east,34,obamacare,15
supporters,51,executive,34,wait,15
cities,51,skeptical,34,land,15
super,50,marriage,33,exactly,15
ability,50,limit,33,data,15
problems,50,conservative,33,green,15
supreme,50,fall,33,manmade,15
wait,50,areas,33,disagree,15
defense,50,alarm,33,agencies,15
goal,49,manmade,33,research,15
claim,49,stance,33,page,15
subject,49,young,33,steve,15
risk,49,transform,33,withdraw,15
voice,49,exist,33,wrong,15
ally,49,families,33,tucker,15
high,49,generations,33,transition,14
dollars,49,opportunity,33,along,14
hurricanes,49,fox,33,cut,14
differences,48,acknowledge,33,half,14
ice,48,mayor,33,finally,14
six,48,terrorists,33,everyone,14
value,48,folks,32,increase,14
solve,48,instead,32,democrat,14
despite,48,oklahoma,32,eye,14
agreements,48,green,32,outside,14
conservative,48,yeah,32,abortion,14
represent,48,trip,32,specific,14
attention,47,protesters,32,influence,14
must,47,eye,32,liberal,14
jim,47,attention,32,panel,14
wealth,47,history,32,sunday,14
bush,47,charge,32,host,14
choose,47,minutes,32,official,14
post,47,million,32,attorney,14
embrace,47,close,32,chance,14
nice,47,certainly,32,east,14
specifically,47,grow,32,nato,14
protection,47,exxon,32,picture,14
largest,46,miami,32,single,14
keystone,46,seriously,32,wage,14
race,46,class,32,fire,14
manmade,46,pass,32,likely,14
extreme,46,administrator,32,hottest,14
explain,46,abortion,31,drought,14
affordable,46,months,31,throughout,14
temperatures,46,south,31,months,14
drive,46,decades,31,minutes,14
topic,46,income,31,lose,14
figure,46,room,31,bad,14
land,46,crazy,31,deniers,14
landmark,46,pose,31,woman,14
denier,46,better,31,nbc,14
result,45,travel,31,relationship,13
limit,45,generation,31,hours,13
process,45,putin,31,kerry,13
soon,45,consensus,31,greenhouse,13
minutes,45,fake,31,jim,13
will,45,street,31,battle,13
france,45,withdraw,31,legacy,13
citizens,45,demand,30,latest,13
growth,45,conservatives,30,cap,13
prize,45,weapons,30,topics,13
personal,44,rule,30,strategy,13
relate,44,controversial,30,charge,13
particular,44,aggressive,30,range,13
release,44,trouble,30,south,13
cover,44,sue,30,list,13
response,44,beyond,30,evidence,13
stronger,44,facts,30,represent,13
research,44,perhaps,30,shoot,13
hours,44,result,30,france,13
guess,44,target,30,less,13
add,44,month,30,cities,13
nominee,44,cities,30,reform,13
engage,44,reach,30,yeah,13
mark,44,consequences,30,tower,13
allow,44,board,30,whatever,13
environmentalists,44,frankly,30,streets,13
girls,44,enemy,30,harder,13
worry,43,somebody,30,cabinet,13
family,43,lack,30,third,13
heat,43,either,30,rex,13
crisis,43,defeat,29,west,13
ten,43,surprise,29,series,13
influence,43,west,29,direct,13
plant,43,post,29,true,13
aim,43,century,29,houston,13
throughout,43,barack,29,juan,13
doubt,43,land,29,common,12
media,43,detail,29,due,12
opportunities,43,events,29,accept,12
main,43,along,29,threaten,12
cheer,43,politicians,29,pipeline,12
negotiate,43,learn,29,area,12
instead,43,moral,29,sell,12
nobel,43,drive,29,barack,12
catholic,42,violence,29,cost,12
joe,42,degree,29,within,12
amount,42,defense,29,rule,12
facts,42,whatever,29,soon,12
advance,42,school,29,short,12
encourage,42,ignore,29,congressman,12
priority,42,ivanka,29,hit,12
commitment,42,protection,29,rubio,12
winner,42,cold,29,arrive,12
oh,42,severe,28,huge,12
book,41,miss,28,ones,12
safety,41,five,28,must,12
south,41,burn,28,temperature,12
families,41,effort,28,greatest,12
progressive,41,civil,28,remain,12
either,41,quite,28,connect,12
finally,41,avoid,28,french,12
exxon,41,distraction,28,drive,12
merkel,41,yes,28,minimum,12
whatever,41,research,28,prove,12
jam,41,topic,28,school,12
towards,40,regard,28,inside,12
temperature,40,pressure,28,presidency,12
table,40,food,28,early,12
chief,40,wonder,28,mike,12
solar,40,juan,28,town,12
eye,40,gay,27,oklahoma,12
east,40,texas,27,month,12
month,40,several,27,old,12
importance,40,goal,27,experience,12
discussions,40,fail,27,correspondent,12
specific,40,small,27,longer,12
exist,40,spread,27,protest,12
longer,40,disasters,27,aggressive,12
battle,40,headline,27,occur,12
invest,40,unfortunately,27,decisions,12
european,40,race,27,response,12
shoot,40,subject,27,book,12
suggest,40,greatest,27,class,12
korea,40,rally,27,demand,11
serve,40,black,27,summer,11
bad,40,strike,27,stuff,11
describe,39,process,27,situation,11
stick,39,reaction,27,shift,11
large,39,billion,27,limit,11
information,39,interview,27,chief,11
india,39,situation,27,burn,11
five,39,iraq,26,process,11
recent,39,communities,26,reverse,11
obamacare,39,half,26,moments,11
evidence,39,develop,26,specifically,11
friends,39,wake,26,stance,11
favor,39,recent,26,members,11
religious,39,trail,26,room,11
within,39,describe,26,buy,11
frankly,39,oh,26,particularly,11
manufacture,39,disappear,26,weekend,11
higher,39,page,26,anybody,11
technology,39,regulation,26,opportunity,11
cancel,39,essentially,26,consequences,11
sean,39,priority,26,december,11
macron,39,religion,26,pay,11
prepare,38,will,26,primary,11
degree,38,check,26,nature,11
website,38,education,26,season,11
shift,38,activists,26,committee,11
late,38,dollars,26,dismantle,11
degrees,38,repeatedly,26,twitter,11
wind,38,evil,26,play,11
measure,38,jesse,26,unless,11
businesses,38,mistake,25,hand,11
walk,38,note,25,kelly,11
recognize,38,melt,25,bush,11
goals,38,wait,25,law,11
warmer,38,dangers,25,cia,11
age,38,immediate,25,quite,11
simple,38,fair,25,figure,11
reaction,38,twitter,25,fly,11
god,37,rather,25,prevent,10
abortion,37,host,25,minister,10
easy,37,perspective,25,stake,10
benefit,37,okay,25,jerry,10
announcement,37,prepare,25,brown,10
third,37,danger,25,attend,10
travel,37,elect,25,anymore,10
series,37,hate,25,alaskan,10
check,37,private,25,highlight,10
beyond,37,islam,25,site,10
data,37,vatican,24,thursday,10
refugees,37,chance,24,stage,10
gay,37,due,24,development,10
thousands,37,capitalism,24,capitalism,10
safe,37,catholic,24,depend,10
seven,37,explain,24,joint,10
link,37,harm,24,embrace,10
outside,37,jim,24,conservative,10
cabinet,37,drill,24,receive,10
stuff,37,catastrophic,24,cuba,10
billions,37,within,24,crisis,10
page,37,justice,24,four,10
minister,36,often,24,vatican,10
nearly,36,immigrants,24,husband,10
host,36,recognize,24,simply,10
defend,36,measure,24,large,10
wrong,36,outside,24,tackle,10
drill,36,growth,24,region,10
communities,36,finally,24,russian,10
tough,36,hundreds,24,recognize,10
class,36,cabinet,24,education,10
decades,36,simple,24,urge,10
freedom,36,torture,24,block,10
rally,36,agencies,24,solar,10
french,36,illegal,24,throw,10
steve,36,sean,24,note,10
bret,36,leak,24,differences,10
prime,35,book,23,union,10
urgent,35,tie,23,hope,10
cooperation,35,draft,23,millennials,10
popular,35,final,23,lobby,10
final,35,men,23,source,10
pass,35,kerry,23,jar,10
december,35,dispute,23,sue,10
conservatives,35,struggle,23,account,10
private,35,court,23,europe,10
experience,35,source,23,sean,10
protest,35,brown,23,write,10
burn,35,huge,23,review,10
urge,35,criticism,23,louisiana,10
ensure,35,criminal,23,directly,10
positive,35,correspondent,23,form,10
priorities,35,family,23,simple,10
present,35,accuse,23,macron,10
law,35,remark,23,predict,10
instance,35,congressman,23,particular,10
development,35,mark,23,somehow,10
criminal,35,denial,23,hot,9
suppose,35,historic,23,previous,9
short,35,account,23,fair,9
promote,35,present,23,approach,9
dicaprio,35,website,23,convince,9
anyone,35,mock,23,instance,9
primary,35,apparently,23,factor,9
talents,35,area,23,goal,9
platform,35,failure,23,encyclical,9
rather,35,opinion,23,democracy,9
tower,35,approach,23,instead,9
terrorism,34,chief,23,afternoon,9
poverty,34,zero,23,zero,9
moral,34,hell,23,decade,9
generations,34,budget,23,jake,9
board,34,radical,23,rate,9
