pos_words,pos_counts,neu_words,neu_counts,neg_words,neg_counts
response,44,evidence,13,beyond,30
stronger,44,represent,13,facts,30
research,44,shoot,13,perhaps,30
hours,44,france,13,result,30
guess,44,less,13,target,30
add,44,cities,13,month,30
nominee,44,reform,13,cities,30
engage,44,yeah,13,reach,30
mark,44,tower,13,consequences,30
allow,44,whatever,13,board,30
environmentalists,44,streets,13,frankly,30
girls,44,harder,13,enemy,30
worry,43,cabinet,13,somebody,30
family,43,third,13,lack,30
heat,43,rex,13,either,30
crisis,43,west,13,defeat,29
ten,43,series,13,surprise,29
influence,43,direct,13,west,29
plant,43,true,13,post,29
aim,43,houston,13,century,29
throughout,43,juan,13,barack,29
doubt,43,common,12,land,29
media,43,due,12,detail,29
opportunities,43,accept,12,events,29
main,43,threaten,12,along,29
cheer,43,pipeline,12,politicians,29
negotiate,43,area,12,learn,29
instead,43,sell,12,moral,29
nobel,43,barack,12,drive,29
catholic,42,cost,12,violence,29
joe,42,within,12,degree,29
amount,42,rule,12,defense,29
facts,42,soon,12,whatever,29
advance,42,short,12,school,29
encourage,42,congressman,12,ignore,29
priority,42,hit,12,ivanka,29
commitment,42,rubio,12,protection,29
winner,42,arrive,12,cold,29
oh,42,huge,12,severe,28
book,41,ones,12,miss,28
safety,41,must,12,five,28
south,41,temperature,12,burn,28
families,41,greatest,12,effort,28
progressive,41,remain,12,civil,28
either,41,connect,12,quite,28
finally,41,french,12,avoid,28
exxon,41,drive,12,distraction,28
merkel,41,minimum,12,yes,28
whatever,41,prove,12,research,28
jam,41,school,12,topic,28
towards,40,inside,12,regard,28
temperature,40,presidency,12,pressure,28
table,40,early,12,food,28
chief,40,mike,12,wonder,28
solar,40,town,12,juan,28
eye,40,oklahoma,12,gay,27
east,40,month,12,texas,27
month,40,old,12,several,27
importance,40,experience,12,goal,27
discussions,40,correspondent,12,fail,27
specific,40,longer,12,small,27
exist,40,protest,12,spread,27
longer,40,aggressive,12,disasters,27
battle,40,occur,12,headline,27
invest,40,decisions,12,unfortunately,27
european,40,response,12,race,27
shoot,40,book,12,subject,27
suggest,40,class,12,greatest,27
korea,40,demand,11,rally,27
serve,40,summer,11,black,27
bad,40,stuff,11,strike,27
describe,39,situation,11,process,27
stick,39,shift,11,reaction,27
large,39,limit,11,billion,27
information,39,chief,11,interview,27
india,39,burn,11,situation,27
five,39,process,11,iraq,26
recent,39,reverse,11,communities,26
obamacare,39,moments,11,half,26
evidence,39,specifically,11,develop,26
friends,39,stance,11,wake,26
favor,39,members,11,recent,26
religious,39,room,11,trail,26
within,39,buy,11,describe,26
frankly,39,particularly,11,oh,26
manufacture,39,weekend,11,disappear,26
higher,39,anybody,11,page,26
technology,39,opportunity,11,regulation,26
cancel,39,consequences,11,essentially,26
sean,39,december,11,priority,26
macron,39,pay,11,religion,26
prepare,38,primary,11,will,26
degree,38,nature,11,check,26
website,38,season,11,education,26
shift,38,committee,11,activists,26
late,38,dismantle,11,dollars,26
degrees,38,twitter,11,repeatedly,26
wind,38,play,11,evil,26
measure,38,unless,11,jesse,26
businesses,38,hand,11,mistake,25
walk,38,kelly,11,note,25
recognize,38,bush,11,melt,25
goals,38,law,11,wait,25
warmer,38,cia,11,dangers,25
age,38,quite,11,immediate,25
simple,38,figure,11,fair,25
reaction,38,fly,11,twitter,25
god,37,prevent,10,rather,25
abortion,37,minister,10,host,25
easy,37,stake,10,perspective,25
benefit,37,jerry,10,okay,25
announcement,37,brown,10,prepare,25
third,37,attend,10,danger,25
travel,37,anymore,10,elect,25
series,37,alaskan,10,hate,25
check,37,highlight,10,private,25
beyond,37,site,10,islam,25
data,37,thursday,10,vatican,24
refugees,37,stage,10,chance,24
gay,37,development,10,due,24
thousands,37,capitalism,10,capitalism,24
safe,37,depend,10,catholic,24
seven,37,joint,10,explain,24
link,37,embrace,10,harm,24
outside,37,conservative,10,jim,24
cabinet,37,receive,10,drill,24
stuff,37,cuba,10,catastrophic,24
billions,37,crisis,10,within,24
page,37,four,10,justice,24
minister,36,vatican,10,often,24
nearly,36,husband,10,immigrants,24
host,36,simply,10,recognize,24
defend,36,large,10,measure,24
wrong,36,tackle,10,outside,24
drill,36,region,10,growth,24
communities,36,russian,10,finally,24
tough,36,recognize,10,hundreds,24
class,36,education,10,cabinet,24
decades,36,urge,10,simple,24
freedom,36,block,10,torture,24
rally,36,solar,10,agencies,24
french,36,throw,10,illegal,24
steve,36,note,10,sean,24
bret,36,differences,10,leak,24
prime,35,union,10,book,23
urgent,35,hope,10,tie,23
cooperation,35,millennials,10,draft,23
popular,35,lobby,10,final,23
final,35,source,10,men,23
pass,35,jar,10,kerry,23
december,35,sue,10,dispute,23
conservatives,35,account,10,struggle,23
private,35,europe,10,court,23
experience,35,sean,10,source,23
protest,35,write,10,brown,23
burn,35,review,10,huge,23
urge,35,louisiana,10,criticism,23
ensure,35,directly,10,criminal,23
positive,35,form,10,correspondent,23
priorities,35,simple,10,family,23
present,35,macron,10,accuse,23
law,35,predict,10,remark,23
instance,35,particular,10,congressman,23
development,35,somehow,10,mark,23
criminal,35,hot,9,denial,23
suppose,35,previous,9,historic,23
short,35,fair,9,account,23
promote,35,approach,9,present,23
dicaprio,35,convince,9,website,23
anyone,35,instance,9,mock,23
primary,35,factor,9,apparently,23
talents,35,goal,9,area,23
platform,35,encyclical,9,failure,23
rather,35,democracy,9,opinion,23
tower,35,instead,9,approach,23
terrorism,34,afternoon,9,chief,23
poverty,34,zero,9,zero,23
moral,34,decade,9,hell,23
generations,34,jake,9,budget,23
board,34,rate,9,radical,23
slow,34,seriously,9,admit,22
kerry,34,frankly,9,canada,22
directly,34,manufacture,9,common,22
full,34,carson,9,relationship,22
maximize,34,reagan,9,reference,22
pledge,34,relations,9,double,22
due,34,perspective,9,dramatic,22
brown,34,describe,9,welcome,22
blame,34,appeal,9,contradict,22
solutions,34,religious,9,return,22
confidence,34,dana,9,stake,22
resources,34,solve,9,anybody,22
market,34,reach,9,experience,22
mike,34,meanwhile,9,bear,22
angela,34,oh,9,director,22
convince,34,recently,9,throw,22
tuition,33,contributions,9,low,22
strategy,33,personal,9,french,22
literally,33,miss,9,truth,22
respond,33,promise,9,compare,22
anybody,33,exit,9,previous,22
democrat,33,threats,9,primary,22
skeptic,33,great,9,occur,22
entire,33,atmosphere,9,fix,22
men,33,closely,9,totally,22
remain,33,advocate,9,current,22
threaten,33,ocean,9,drop,22
woman,33,rid,9,legacy,22
cruz,33,remark,9,fast,22
buy,33,ted,9,nominee,22
intelligence,33,cruz,9,choice,22
spicer,33,dollars,9,clearly,22
food,32,arm,9,pentagon,22
document,32,doubt,9,settle,22
signal,32,attention,9,brief,22
essentially,32,okay,9,strategy,21
target,32,staff,9,weigh,21
price,32,ought,9,potential,21
germany,32,tone,9,germany,21
connect,32,curb,9,weekend,21
proud,32,mayors,9,save,21
mayor,32,confirmation,9,members,21
deliver,32,publicly,9,murder,21
ambitious,32,measure,9,price,21
type,32,language,9,mine,21
glad,32,leonardo,9,confront,21
heart,32,advance,9,anymore,21
often,32,denial,9,bottom,21
treaty,32,kushner,9,shut,21
denial,32,elections,9,statement,21
child,32,society,9,language,21
director,32,road,9,ability,21
trail,32,capital,9,thoughts,21
introduce,31,whose,9,cia,21
provide,31,vladimir,9,arrest,21
disagree,31,mock,9,friday,21
immediate,31,extremely,9,soon,21
initiative,31,core,8,unprecedented,21
melt,31,problems,8,michael,21
divide,31,texas,8,islamic,21
